Date,Region Name,State,Metro,County,City,Size Rank,Zhvi,Mo M,Qo Q,Yo Y,5 Year,10 Year,Peak Month,Peak Quarter,Peak Z H V I,Pct Fall From Peak,Last Time At Curr Z H V I
11/30/2014 12:00:00 AM,Greenwood,WA,Seattle,King,Seattle,600,425400,0.008295804693055,0.01916626736943,0.074513766102551,0.042183702254593,0.032451948062012,11/01/2014 12:00:00 AM,2014-Q4,425400,0,11/01/2014 12:00:00 AM
11/30/2014 12:00:00 AM,Wallingford,WA,Seattle,King,Seattle,612,615100,0.008856814826964,0.017198610881429,0.034303009920969,0.043981517644281,0.034468868924221,11/01/2014 12:00:00 AM,2014-Q4,615100,0,11/01/2014 12:00:00 AM
11/30/2014 12:00:00 AM,New Tacoma,WA,Seattle,Pierce,Tacoma,664,218000,0.012540640966094,0.022993899577663,0.143156790770844,-0.009277380074815,0.008302658166289,05/01/2007 12:00:00 AM,2007-Q2,275500,-0.208711433756806,05/01/2005 12:00:00 AM
11/30/2014 12:00:00 AM,Finn Hill,WA,Seattle,King,Kirkland,689,458000,0.002407528999781,0.001968934587618,0.009032826613792,0.039416733947537,0.028946621520814,06/01/2007 12:00:00 AM,2007-Q2,477200,-0.040234702430847,12/01/2006 12:00:00 AM
11/30/2014 12:00:00 AM,Somerset,WA,Seattle,King,Bellevue,726,813900,0.006181233774261,0.014964459408904,0.087374749498998,0.056956653316104,0.042073203499754,11/01/2014 12:00:00 AM,2014-Q4,813900,0,11/01/2014 12:00:00 AM
11/30/2014 12:00:00 AM,Lea Hill,WA,Seattle,King,Auburn,742,311700,0.001606683804627,0.009064422143088,0.099858856739591,0.016932490942726,0.014691263447073,04/01/2007 12:00:00 AM,2007-Q2,382700,-0.185523909067154,08/01/2005 12:00:00 AM
11/30/2014 12:00:00 AM,Lake Hills,WA,Seattle,King,Bellevue,791,481100,0.009230123767569,0.020360551431601,0.076527187290222,0.048146060353758,0.040582218724372,11/01/2014 12:00:00 AM,2014-Q4,481100,0,11/01/2014 12:00:00 AM
11/30/2014 12:00:00 AM,Beacon Hill,WA,Seattle,King,Seattle,794,363800,0.004972375690608,0.011679644048943,0.064053816905528,0.029552290150747,0.029658698901666,07/01/2007 12:00:00 AM,2007-Q3,378500,-0.03883751651255,12/01/2006 12:00:00 AM
11/30/2014 12:00:00 AM,Downtown,WA,Seattle,King,Bellevue,818,643700,0.010200878844947,0.036220218931101,0.121037965865552,0.04517720664866,0.040110233247819,11/01/2014 12:00:00 AM,2014-Q4,643700,0,11/01/2014 12:00:00 AM
11/30/2014 12:00:00 AM,Fremont,WA,Seattle,King,Seattle,846,510000,0.007705986959099,0.019796040791842,0.074589127686473,0.04471936382077,0.030486529651334,11/01/2014 12:00:00 AM,2014-Q4,510000,0,11/01/2014 12:00:00 AM
11/30/2014 12:00:00 AM,Overlake,WA,Seattle,King,Bellevue,862,477800,0.008229584300485,0.011002962336014,0.07394920206788,0.042785269659788,0.040414788901126,11/01/2007 12:00:00 AM,2007-Q4,494700,-0.03416211845563,02/01/2007 12:00:00 AM
11/30/2014 12:00:00 AM,Ravenna,WA,Seattle,King,Seattle,875,580700,0.010088711080188,0.020203794799719,0.056778889899909,0.046433646163078,0.035344857935698,11/01/2014 12:00:00 AM,2014-Q4,580700,0,11/01/2014 12:00:00 AM
