City,Neighborhood,Listing Type,Zip,ListingFeatureType,Price,Address,HDP Type,Longitude,County,Device Type,State,BrokerId,PropertyType,Latitude,TrackingContactModule,House ID  Zpid
Seattle,Beacon Hill,For Sale Broker,98118,organic,100000,3560 S Morgan St,ForSale,-122286853,King,Desktop,WA,4095,Vacant Land,47544351,bal4HDPHotelCaliforniaMini111111221201111,2108497675,
Seattle,Admiral,For Sale Broker,98126,organic,499000,3012 Fauntleroy Ave SW,ForSale,-122372805,King,Desktop,WA,13599,Single Family,47576853,bal4HDPHotelCaliforniaMini111111221101111,49013052,
Seattle,Admiral,For Sale Broker,98116,organic,175000,15XX Ferry Ave SW,ForSale,-122384003,King,Desktop,WA,9318,Vacant Land,47587639,bal4HDPHotelCaliforniaMini111111222201111,2108871211,
Seattle,North Beacon Hill,For Sale Broker,98144,featured,125000,1531 18th Ave S,ForSale,-122309546,King,Desktop,WA,13461,Vacant Land,47588984,featuredHDPHotelCaliforniaMini111122201,2109087780,
Seattle,Beacon Hill,For Sale Broker,98108,organic,99000,52XX 19th Pl S,ForSale,-122307999,King,Desktop,WA,9318,Vacant Land,47553951,bal3HDPHotelCaliforniaMini1111111100211,2109329473,
Seattle,Magnolia,For Sale Broker,98199,organic,1500000,2825 Perkins Ln W,ForSale,-122416647,King,Desktop,WA,9318,Vacant Land,47645293,bal3HDPHotelCaliforniaMini1111222100211,2110264795,
Seattle,Fauntleroy,For Sale Broker,98136,organic,225000,8022 45TH Ave SW,ForSale,-122390117,King,Desktop,WA,13461,Vacant Land,47530614,bal4HDPHotelCaliforniaMini111111111201111,60971512,
Seattle,View Ridge,For Sale Broker,98115,organic,399000,5611 NE 77TH St,ForSale,-122267422,King,Desktop,WA,9318,Vacant Land,47684157,bal4HDPHotelCaliforniaMini111111112201111,96702119,
Seattle,High Point,For Sale Broker,98106,organic,408000,6941 24th Ave SW,ForSale,-122363301,King,Desktop,WA,9318,Vacant Land,47539753,bal4HDPHotelCaliforniaMini111111112201111,48874941,
Seattle,Alki,For Sale Broker,98116,organic,190000,24XX B 55th Ave SW,ForSale,-122403267,King,Desktop,WA,9318,Vacant Land,47579807,bal4HDPHotelCaliforniaMini111111222201111,2116761016,
Seattle,Alki,For Sale Broker,98116,organic,135000,24XXA 55th Ave SW,ForSale,-122402969,King,Desktop,WA,9318,Vacant Land,47579876,bal4HDPHotelCaliforniaMini111111121201111,2116761017,
Seattle,Rainier Beach,For Sale Broker,98178,featured,129900,10200 Waters Ave S,ForSale,-122249776,King,Desktop,WA,13404,Vacant Land,47509614,featuredHDPHotelCaliforniaMini111122201,2117579230,
Seattle,Seward Park,For Sale Broker,98118,organic,309950,6203 Chatham Dr S,ForSale,-122264667,King,Desktop,WA,9318,Vacant Land,47546623,bal4HDPHotelCaliforniaMini111111122201111,2120856603,
Seattle,Greenwood,Foreclosed,98177,organic,394000,10147 Holman Rd NW,NoZestimate,-122359123,King,Desktop,WA,Foreclosed,Vacant Land,47703475,foreclosurespecialistHDPHotelCaliforniaMini111100201,49047057,
