Region.Name,City,State,Metro,County.Name,Value,date
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.912921348314606,2011-07-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.884955752212389,2011-08-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.892857142857142,2011-09-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.88235294117647,2011-10-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.94059405940594,2011-11-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.918624161073825,2011-12-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.954545454545454,2012-01-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.923076923076923,2012-02-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.875190258751902,2012-03-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.969967532467532,2012-04-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.995007132667617,2012-05-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.961538461538461,2012-06-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.933786078098471,2012-07-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.9,2012-08-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.87375,2012-09-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.919913419913419,2012-10-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.926666666666666,2012-11-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,1.01799242424242,2012-12-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.995,2013-01-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,1.01799242424242,2013-02-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,1.02222222222222,2013-03-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,1.07142857142857,2013-04-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,1.06534090909091,2013-05-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,1.00571428571428,2013-06-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.99009900990099,2013-07-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.996677740863787,2013-08-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.907590759075907,2013-09-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.9080547112462,2013-10-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.86875,2013-11-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.916666666666666,2013-12-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.911764705882352,2014-01-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.892857142857142,2014-02-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.853413654618473,2014-03-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.88209219858156,2014-04-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.962278675904541,2014-05-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.927197802197802,2014-06-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.9009009009009,2014-07-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.9009009009009,2014-08-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,1.00121359223301,2014-09-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.956521739130434,2014-10-01
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,0.903465346534653,2014-11-01
West End,Tacoma,WA,Seattle,Pierce,NA,2010-02-01
West End,Tacoma,WA,Seattle,Pierce,NA,2010-03-01
West End,Tacoma,WA,Seattle,Pierce,NA,2010-04-01
West End,Tacoma,WA,Seattle,Pierce,NA,2010-05-01
West End,Tacoma,WA,Seattle,Pierce,NA,2010-06-01
West End,Tacoma,WA,Seattle,Pierce,NA,2010-07-01
West End,Tacoma,WA,Seattle,Pierce,0.948040109389243,2010-08-01
West End,Tacoma,WA,Seattle,Pierce,0.948040109389243,2010-09-01
West End,Tacoma,WA,Seattle,Pierce,0.947115384615384,2010-10-01
West End,Tacoma,WA,Seattle,Pierce,0.948040109389243,2010-11-01
