Region.Name,City,State,Metro,County.Name,Value,date
Alki,Seattle,WA,Seattle,King,2.66471997685177,2024-11-01
Arbor Heights,Seattle,WA,Seattle,King,1.30532613964579,2015-11-01
Arbor Heights,Seattle,WA,Seattle,King,1.14201531361357,2019-11-01
Arbor Heights,Seattle,WA,Seattle,King,0.937876781073288,2024-11-01
Ballard,Seattle,WA,Seattle,King,2.38992930546205,2015-11-01
Ballard,Seattle,WA,Seattle,King,2.53002180923437,2019-11-01
Ballard,Seattle,WA,Seattle,King,2.70513743894977,2024-11-01
Beacon Hill,Seattle,WA,Seattle,King,1.87596603299308,2015-11-01
Beacon Hill,Seattle,WA,Seattle,King,2.44321212405888,2019-11-01
Beacon Hill,Seattle,WA,Seattle,King,3.15226973789114,2024-11-01
Belltown,Seattle,WA,Seattle,King,3.01774414945591,2015-11-01
Belltown,Seattle,WA,Seattle,King,4.28195436473856,2019-11-01
Belltown,Seattle,WA,Seattle,King,5.86221713384186,2024-11-01
Bitter Lake,Seattle,WA,Seattle,King,1.62033830696342,2015-11-01
Bitter Lake,Seattle,WA,Seattle,King,1.71962109725042,2019-11-01
Bitter Lake,Seattle,WA,Seattle,King,1.84372458510916,2024-11-01
Brighton,Seattle,WA,Seattle,King,1.75179307105304,2015-11-01
Brighton,Seattle,WA,Seattle,King,1.8872722187368,2019-11-01
Brighton,Seattle,WA,Seattle,King,2.05662115334151,2024-11-01
Broadview,Seattle,WA,Seattle,King,1.56379043857529,2015-11-01
Broadview,Seattle,WA,Seattle,King,1.46391527238628,2019-11-01
Broadview,Seattle,WA,Seattle,King,1.33907131465,2024-11-01
Bryant,Seattle,WA,Seattle,King,1.82743320762878,2015-11-01
Bryant,Seattle,WA,Seattle,King,2.25915968788213,2019-11-01
Bryant,Seattle,WA,Seattle,King,2.79881778819883,2024-11-01
Capitol Hill,Seattle,WA,Seattle,King,2.76355162535369,2015-11-01
Capitol Hill,Seattle,WA,Seattle,King,3.48389485172869,2019-11-01
Capitol Hill,Seattle,WA,Seattle,King,4.38432388469745,2024-11-01
Cascade,Seattle,WA,Seattle,King,2.63101284408035,2015-11-01
Cascade,Seattle,WA,Seattle,King,2.81696898230653,2019-11-01
Cascade,Seattle,WA,Seattle,King,3.04941415508924,2024-11-01
Cedar Park,Seattle,WA,Seattle,King,1.56049543929313,2015-11-01
Cedar Park,Seattle,WA,Seattle,King,1.06657215195527,2019-11-01
Cedar Park,Seattle,WA,Seattle,King,0.449168042782938,2024-11-01
Central,Seattle,WA,Seattle,King,2.42492449918261,2015-11-01
Central,Seattle,WA,Seattle,King,3.12895390441172,2019-11-01
Central,Seattle,WA,Seattle,King,4.0089906609481,2024-11-01
Columbia City,Seattle,WA,Seattle,King,2.36497487607082,2015-11-01
Columbia City,Seattle,WA,Seattle,King,3.69496890786527,2019-11-01
Columbia City,Seattle,WA,Seattle,King,5.35746144760833,2024-11-01
Crown Hill,Seattle,WA,Seattle,King,1.87070264663506,2015-11-01
Crown Hill,Seattle,WA,Seattle,King,2.33464187446471,2019-11-01
Crown Hill,Seattle,WA,Seattle,King,2.91456590925178,2024-11-01
Denny Triangle,Seattle,WA,Seattle,King,3.02559354196064,2015-11-01
Denny Triangle,Seattle,WA,Seattle,King,4.1505595882889,2019-11-01
Denny Triangle,Seattle,WA,Seattle,King,5.55676714619924,2024-11-01
Downtown,Seattle,WA,Seattle,King,3.05255258750929,2015-11-01
Downtown,Seattle,WA,Seattle,King,4.31519382410511,2019-11-01
Downtown,Seattle,WA,Seattle,King,5.89349536984988,2024-11-01
Dunlap,Seattle,WA,Seattle,King,1.67867388105738,2015-11-01
Dunlap,Seattle,WA,Seattle,King,1.51536305502516,2019-11-01
Dunlap,Seattle,WA,Seattle,King,1.31122452248487,2024-11-01
East Ballard,Seattle,WA,Seattle,King,2.27732115480607,2015-11-01
East Ballard,Seattle,WA,Seattle,King,2.26445356785865,2019-11-01
East Ballard,Seattle,WA,Seattle,King,2.24836908417438,2024-11-01
East Queen Anne,Seattle,WA,Seattle,King,2.73059323657644,2015-11-01
East Queen Anne,Seattle,WA,Seattle,King,3.89440488512876,2019-11-01
East Queen Anne,Seattle,WA,Seattle,King,5.34916944581916,2024-11-01
Eastlake,Seattle,WA,Seattle,King,2.20243816749281,2015-11-01
Eastlake,Seattle,WA,Seattle,King,3.17885750413075,2019-11-01
Eastlake,Seattle,WA,Seattle,King,4.39938167492816,2024-11-01
Fairmount Park,Seattle,WA,Seattle,King,1.84363218190658,2015-11-01
Fairmount Park,Seattle,WA,Seattle,King,1.98206491195182,2019-11-01
Fairmount Park,Seattle,WA,Seattle,King,2.15510582450838,2024-11-01
Fauntleroy,Seattle,WA,Seattle,King,1.83930456677863,2015-11-01
Fauntleroy,Seattle,WA,Seattle,King,2.31298536963395,2019-11-01
Fauntleroy,Seattle,WA,Seattle,King,2.90508637320309,2024-11-01
First Hill,Seattle,WA,Seattle,King,2.6330178650448,2015-11-01
First Hill,Seattle,WA,Seattle,King,2.9170140472086,2019-11-01
First Hill,Seattle,WA,Seattle,King,3.27200927491335,2024-11-01
Fremont,Seattle,WA,Seattle,King,2.76730294796224,2015-11-01
Fremont,Seattle,WA,Seattle,King,3.54819911006917,2019-11-01
Fremont,Seattle,WA,Seattle,King,4.52431931270283,2024-11-01
Gatewood,Seattle,WA,Seattle,King,1.96989693324984,2015-11-01
Gatewood,Seattle,WA,Seattle,King,2.88468728156583,2019-11-01
